"","r","theta","x","y"
"1",1.01959115820832,0.196349540849362,1,0.198912367379658
"2",1.01959115820832,0.589048622548086,0.847759065022573,0.566454497350521
"3",1.01959115820832,0.98174770424681,0.566454497350522,0.847759065022573
"4",1.01959115820832,1.37444678594553,0.198912367379658,1
"5",1.01959115820832,1.76714586764426,-0.198912367379658,1
"6",1.01959115820832,2.15984494934298,-0.566454497350521,0.847759065022574
"7",1.01959115820832,2.55254403104171,-0.847759065022574,0.566454497350521
"8",1.01959115820832,2.94524311274043,-1,0.198912367379658
"9",1.01959115820832,3.33794219443916,-1,-0.198912367379658
"10",1.01959115820832,3.73064127613788,-0.847759065022574,-0.566454497350521
"11",1.01959115820832,4.1233403578366,-0.566454497350521,-0.847759065022573
"12",1.01959115820832,4.51603943953533,-0.198912367379658,-1
"13",1.01959115820832,4.90873852123405,0.198912367379658,-1
"14",1.01959115820832,5.30143760293278,0.566454497350521,-0.847759065022574
"15",1.01959115820832,5.6941366846315,0.847759065022573,-0.566454497350521
"16",1.01959115820832,6.08683576633022,1,-0.198912367379658
